x	ln(x) + noise
1.000000000000000000e+00	-4.430204086399327362e-02
1.090909090909090828e+00	4.943324447542286892e-02
1.181818181818181879e+00	8.152003715636851888e-02
1.272727272727272707e+00	2.570156615164493896e-01
1.363636363636363757e+00	3.161998368211060839e-01
1.454545454545454586e+00	3.798209081827423339e-01
1.545454545454545414e+00	4.107303197829040298e-01
1.636363636363636243e+00	5.438852346239732016e-01
1.727272727272727293e+00	5.342964190951301484e-01
1.818181818181818343e+00	6.724137486623870119e-01
1.909090909090909172e+00	6.942682571195730734e-01
2.000000000000000000e+00	6.392750700963832911e-01
2.090909090909090828e+00	6.706810077484470778e-01
2.181818181818181657e+00	7.308412540502146060e-01
2.272727272727272485e+00	8.391101375773756255e-01
2.363636363636363757e+00	8.219629939499960569e-01
2.454545454545454586e+00	9.083543087920793457e-01
2.545454545454545414e+00	9.106316707916238817e-01
2.636363636363636687e+00	9.419664183340239472e-01
2.727272727272727515e+00	1.084902459301950506e+00
2.818181818181818343e+00	1.085522407375240084e+00
2.909090909090909172e+00	1.121303755711815731e+00
3.000000000000000000e+00	1.004808156697825305e+00
3.090909090909090828e+00	1.117584947820894348e+00
3.181818181818181657e+00	1.109380786473889824e+00
3.272727272727272929e+00	1.229889805891744903e+00
3.363636363636363757e+00	1.200226296429323103e+00
3.454545454545454586e+00	1.241645889824374516e+00
3.545454545454545414e+00	1.273279932285263927e+00
3.636363636363636243e+00	1.342590290872521797e+00
3.727272727272727515e+00	1.265127814560958575e+00
3.818181818181818343e+00	1.413682244574458347e+00
3.909090909090909172e+00	1.314375430687186874e+00
4.000000000000000000e+00	1.524870662842353175e+00
4.090909090909090828e+00	1.369283596641021061e+00
4.181818181818181657e+00	1.541000587413953848e+00
4.272727272727273373e+00	1.486271012466716002e+00
4.363636363636363313e+00	1.448959776267851218e+00
4.454545454545455030e+00	1.489848767826069453e+00
4.545454545454544970e+00	1.490283222297567933e+00
4.636363636363636687e+00	1.460583579223888595e+00
4.727272727272727515e+00	1.564323829983299774e+00
4.818181818181818343e+00	1.613349940165573981e+00
4.909090909090909172e+00	1.581452996426675472e+00
5.000000000000000000e+00	1.551953542055813262e+00
5.090909090909090828e+00	1.588779834840397420e+00
5.181818181818181657e+00	1.713944562071713085e+00
5.272727272727272485e+00	1.641634860051015110e+00
5.363636363636363313e+00	1.740216389866717339e+00
5.454545454545455030e+00	1.697225306810699053e+00
5.545454545454545858e+00	1.670889111542736227e+00
5.636363636363636687e+00	1.677439675304341016e+00
5.727272727272727515e+00	1.792361817554171566e+00
5.818181818181818343e+00	1.632012684345438558e+00
5.909090909090909172e+00	1.791311731408010477e+00
6.000000000000000000e+00	1.750468967111739715e+00
6.090909090909090828e+00	1.777029803797359975e+00
6.181818181818181657e+00	1.733681423567681179e+00
6.272727272727272485e+00	1.930564933614828949e+00
6.363636363636364202e+00	1.870598354769540617e+00
6.454545454545455030e+00	1.865817576631907615e+00
6.545454545454545858e+00	1.802165661037878008e+00
6.636363636363636687e+00	1.882872431358010301e+00
6.727272727272727515e+00	1.927544582953754748e+00
6.818181818181818343e+00	1.870353525092937286e+00
6.909090909090909172e+00	1.922335084564929408e+00
7.000000000000000000e+00	1.911345754587587820e+00
7.090909090909090828e+00	1.982211300821017375e+00
7.181818181818181657e+00	1.966342496927987016e+00
7.272727272727272485e+00	1.996337573146701905e+00
7.363636363636364202e+00	1.978660175467097826e+00
7.454545454545455030e+00	2.106736969268926174e+00
7.545454545454545858e+00	2.065621425826848601e+00
7.636363636363636687e+00	2.017439978093577224e+00
7.727272727272727515e+00	2.064310019705319466e+00
7.818181818181818343e+00	2.001011129104938391e+00
7.909090909090909172e+00	2.070871654090364888e+00
8.000000000000000000e+00	2.131584653462992751e+00
8.090909090909089940e+00	2.141965648496160668e+00
8.181818181818181657e+00	2.134719091669185165e+00
8.272727272727273373e+00	2.193778677739850025e+00
8.363636363636363313e+00	2.112908975488278163e+00
8.454545454545455030e+00	2.151934156990458646e+00
8.545454545454546746e+00	2.124387773806618362e+00
8.636363636363636687e+00	2.082421426958107613e+00
8.727272727272726627e+00	2.047221777398402498e+00
8.818181818181818343e+00	2.198592141927294019e+00
8.909090909090910060e+00	2.204241038161545152e+00
9.000000000000000000e+00	2.161707414330750865e+00
9.090909090909091717e+00	2.219963568360032280e+00
9.181818181818181657e+00	2.280994425069954090e+00
9.272727272727273373e+00	2.209288259066965132e+00
9.363636363636363313e+00	2.246901894661407439e+00
9.454545454545455030e+00	2.224952694475487380e+00
9.545454545454544970e+00	2.257796676079021569e+00
9.636363636363636687e+00	2.277274048866513745e+00
9.727272727272726627e+00	2.428201171578916018e+00
9.818181818181818343e+00	2.238774753780981452e+00
9.909090909090910060e+00	2.230944375942877311e+00
1.000000000000000000e+01	2.339593244618189960e+00
